"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\vue\vueJS_016_字研所\02-装裱大师APP\.hbuilderx\launch.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"d:\vue\vueJS_016_字研所\02-装裱大师APP\App.vue", "Vue", 0, 20, 0, 0, 0, 0, 0, 0, 15, 2, 37
"d:\vue\vueJS_016_字研所\02-装裱大师APP\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\vue\vueJS_016_字研所\02-装裱大师APP\cart-add.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 1, 3, 51
"d:\vue\vueJS_016_字研所\02-装裱大师APP\common\http.api.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 6, 22
"d:\vue\vueJS_016_字研所\02-装裱大师APP\common\http.interceptor.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 24, 6, 67
"d:\vue\vueJS_016_字研所\02-装裱大师APP\common\uqrcode.js", "JavaScript", 1020, 0, 0, 0, 0, 0, 0, 0, 120, 299, 1439
"d:\vue\vueJS_016_字研所\02-装裱大师APP\common\util.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 20, 8, 118
"d:\vue\vueJS_016_字研所\02-装裱大师APP\common\vconsole.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10
"d:\vue\vueJS_016_字研所\02-装裱大师APP\components\cart-add.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 1, 3, 51
"d:\vue\vueJS_016_字研所\02-装裱大师APP\components\cart-footer.vue", "Vue", 0, 84, 0, 0, 0, 0, 0, 0, 1, 5, 90
"d:\vue\vueJS_016_字研所\02-装裱大师APP\components\helang-cardSwiper\helang-cardSwiper.vue", "Vue", 0, 73, 0, 0, 0, 0, 0, 0, 12, 2, 87
"d:\vue\vueJS_016_字研所\02-装裱大师APP\components\picShow.vue", "Vue", 0, 53, 0, 0, 0, 0, 0, 0, 0, 5, 58
"d:\vue\vueJS_016_字研所\02-装裱大师APP\main.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 9, 10, 48
"d:\vue\vueJS_016_字研所\02-装裱大师APP\manifest.json", "JSON", 0, 0, 0, 0, 164, 0, 0, 0, 1, 1, 166
"d:\vue\vueJS_016_字研所\02-装裱大师APP\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages.json", "JSON", 0, 0, 0, 0, 316, 0, 0, 0, 13, 20, 349
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\biao.vue", "Vue", 0, 196, 0, 0, 0, 0, 0, 0, 3, 7, 206
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\class.vue", "Vue", 0, 62, 0, 0, 0, 0, 0, 0, 14, 6, 82
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\class_super.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 2, 6, 89
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\edu.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\hui.vue", "Vue", 0, 75, 0, 0, 0, 0, 0, 0, 24, 10, 109
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\search.vue", "Vue", 0, 84, 0, 0, 0, 0, 0, 0, 1, 8, 93
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\yuyue.vue", "Vue", 0, 126, 0, 0, 0, 0, 0, 0, 0, 7, 133
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\channel\zhan.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 1, 2, 58
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\create.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 4, 6, 93
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\enjoy.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 1, 4, 52
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\enjoy_item.vue", "Vue", 0, 345, 0, 0, 0, 0, 0, 0, 11, 27, 383
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\enjoy_item_comments.vue", "Vue", 0, 211, 0, 0, 0, 0, 0, 0, 0, 20, 231
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\index.vue", "Vue", 0, 166, 0, 0, 0, 0, 0, 0, 6, 2, 174
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\live.vue", "Vue", 0, 118, 0, 0, 0, 0, 0, 0, 2, 3, 123
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\home\ucenter.vue", "Vue", 0, 267, 0, 0, 0, 0, 0, 0, 23, 6, 296
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\fav.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 1, 3, 58
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\jifen.vue", "Vue", 0, 89, 0, 0, 0, 0, 0, 0, 0, 8, 97
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\login.vue", "Vue", 0, 188, 0, 0, 0, 0, 0, 0, 6, 12, 206
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\money.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\mybiao.vue", "Vue", 0, 66, 0, 0, 0, 0, 0, 0, 1, 2, 69
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\mybiao_item.vue", "Vue", 0, 120, 0, 0, 0, 0, 0, 0, 7, 8, 135
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\myorder.vue", "Vue", 0, 224, 0, 0, 0, 0, 0, 0, 8, 8, 240
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\pay.vue", "Vue", 0, 159, 0, 0, 0, 0, 0, 0, 1, 10, 170
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\setting.vue", "Vue", 0, 184, 0, 0, 0, 0, 0, 0, 4, 9, 197
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\member\wxauth.vue", "Vue", 0, 364, 0, 0, 0, 0, 0, 0, 15, 18, 397
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\cart.vue", "Vue", 0, 264, 0, 0, 0, 0, 0, 0, 14, 24, 302
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\choose_address.vue", "Vue", 0, 165, 0, 0, 0, 0, 0, 0, 0, 8, 173
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\getOrder.vue", "Vue", 0, 223, 0, 0, 0, 0, 0, 0, 7, 7, 237
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\renren.vue", "Vue", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\shop.vue", "Vue", 0, 181, 0, 0, 0, 0, 0, 0, 1, 13, 195
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\shopZhan.vue", "Vue", 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\shop_class.vue", "Vue", 0, 110, 0, 0, 0, 0, 0, 0, 1, 5, 116
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\shop_item.vue", "Vue", 0, 381, 0, 0, 0, 0, 0, 0, 13, 31, 425
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\shop\shop_文章列表自循环.vue", "Vue", 0, 163, 0, 0, 0, 0, 0, 0, 0, 10, 173
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\73ic-com.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\sjtzj-com.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\z01-com.vue", "Vue", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\z01-ico.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\zfont-f.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\pages\webview\zfont-list.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\vue\vueJS_016_字研所\02-装裱大师APP\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\store\$u.mixin.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 5, 35
"d:\vue\vueJS_016_字研所\02-装裱大师APP\store\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 34, 7, 88
"d:\vue\vueJS_016_字研所\02-装裱大师APP\style\_zoomlaCMS.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 15, 15, 56
"d:\vue\vueJS_016_字研所\02-装裱大师APP\style\global.scss", "SCSS", 0, 0, 422, 0, 0, 0, 0, 0, 52, 114, 588
"d:\vue\vueJS_016_字研所\02-装裱大师APP\style\home_card.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 23, 14, 88
"d:\vue\vueJS_016_字研所\02-装裱大师APP\template.h5.html", "HTML", 0, 0, 0, 0, 0, 0, 36, 0, 6, 1, 43
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 2, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uniCloud-aliyun\cloudfunctions\univerify\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\changelog.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\package.json", "JSON", 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 81
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\readme.md", "Markdown", 0, 0, 0, 76, 0, 0, 0, 0, 0, 17, 93
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\package.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-id\config.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\changelog.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\package.json", "JSON", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 80
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\readme.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 11, 33
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\LICENSE.md", "Markdown", 0, 0, 0, 169, 0, 0, 0, 0, 0, 33, 202
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\package-lock.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\package.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\changelog.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\components\uni-swiper-dot\uni-swiper-dot.vue", "Vue", 0, 162, 0, 0, 0, 0, 0, 0, 36, 16, 214
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\package.json", "JSON", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 83
"d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\readme.md", "Markdown", 0, 0, 0, 65, 0, 0, 0, 0, 0, 20, 85
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\apk\cmManifestCache.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappchooselocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappes6.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappopenlocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniapppicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappquill.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappquillimageresize.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappscan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappview.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-config-service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-service.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.umd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\.automator\app-plus\.automator.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappchooselocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappes6.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappopenlocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniapppicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquill.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquillimageresize.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappscan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappview.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config-service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-service.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\common\js\touch-emulator.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 0, 88, 47, 363
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\zico.scss", "SCSS", 0, 0, 31, 0, 0, 0, 0, 0, 8, 1, 40
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.umd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappchooselocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappes6.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappopenlocation.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniapppicker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquill.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquillimageresize.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappscan.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappview.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config-service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-service.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-view.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\channel\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\member\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\shop\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\webview\app-sub-service.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
